ным,315
акі,313
_ня,312
пач,311
ога,310
ба_,310
_мя,309
удз,309
зін,308
лен,308
чка,308
асл,307
_мн,306
шы_,306
ей_,305
_ку,305
наг,305
тры,304
аю_,304
сць,304
рна,302
_ды,301
ду_,300
каб,298
кан,298
тва,298
жа_,298
дна,297
зіц,294
абе,294
лав,293
кры,293
ная,292
ня_,291
спа,291
па_,290
апа,290
рыс,289
кра,288
ясь,288
абі,287
тат,287
аец,286
э__,285
аны,285
кла,283
арн,283
ыма,283
еры,282
уля,282
ові,282
быў,282
дар,281
ані,279
сё_,279
азу,279
дач,278
ына,278
ады,277
іва,277
вяр,274
яне,274
ова,273
тал,272
рым,271
лів,270
мож,270
_яе,270
_по,270
гля,269
_ду,269
яны,269
ія_,268
ядз,268
мне,267
дав,267
спр,266
іну,266
еў_,265
аба,265
чал,265
ўна,264
нов,264
ніч,263
віч,263
кай,262
лод,261
кар,261
вае,261
_ці,260
нне,260
_ко,259
іч_,259
аля,259
мы_,259
ных,259
даў,258
ючы,258
ума,258
аз_,257
_жы,256
іра,256
рэб,256
уў_,254
ляд,254
ік_,253
вай,253
паў,253
_іх,252
ано,250
ыта,250
ось,249
уме,249
ык_,249
уць,249
пам,248
вус,248
яшч,248
нам,247
бо_,246
улі,243
яму,243
_ям,242
эты,242
бар,242
зло,241
маг,240
_кі,240
ер_,239
ожа,238
зал,237
ння,236
аме,236
ыцц,235
яга,235
_сл,235
_зд,234
нка,234
мен,233
ру_,233
дзв,232
гад,232
зум,231
тым,231
дум,229
ман,229
_ін,228
саб,227
каў,226
бач,226
шчэ,225
жан,225
ват,224
таг,224
кім,223
кац,223
мар,222
ыка,222
енн,222
рук,221
_зр,221
ало,221
_ім,220
тул,220
ое_,220
_го,220
яў_,220
доб,219
кса,219
адк,219
скі,218
оўн,218
лін,217
ыст,217
аво,217
він,217
еш_,216
сля,215
два,214
аты,213
_хо,213
ан_,213
тут,212
ора,212
лев,212
_чы,212
ела,211
_мі,211
ут_,210
чыц,210
кія,209
для,209
ель,209
_ак,208
_лі,208
чэ_,208
ль_,208
пан,207
аку,206
__е,205
ўва,205
_др,205
ажу,205
_бл,205
ус_,204
_ву,204
_яш,204
апр,204
чым,204
аўл,203
ека,203
вял,203
аса,202
аця,202
яць,202
ябе,202
ем_,201
_ну,201
аўн,200
лат,199
ікі,198
юць,198
рал,197
ацы,197
агл,197
лкі,197
атр,197
маў,196
обр,196
хто,196
аўд,195
ту_,195
ева,195
_лю,195
_дл,195
нта,194
льш,193
ляг,193
_ро,193
аха,192
зам,192
асп,191
_пя,191
тка,191
_зв,191
нул,191
рыц,191
кая,190
анд,190
эба,188
жо_,188
ўсё,188
вам,188
айш,187
ліц,187
ула,187
ацц,186
жыц,186
_ан,185
куп,185
пат,185
_дв,185
аюц,185
кав,185
ька,185
дра,185
кой,184
_му,184
дас,183
арт,183
ахо,182
нь_,182
дае,182
_рэ,182
кол,181
гал,181
ве_,181
ант,181
жна,181
зва,181
ару,180
тан,180
раш,179
важ,179
аск,179
азв,179
тро,179
ках,178
ожн,177
рых,177
_бе,176
ваю,176
каж,176
бы_,176
л__,176
вос,175
овы,175
зра,175
зёл,175
аду,175
дам,175
зей,174
рат,174
чна,173
ёй_,173
аюч,173
кую,173
гу_,172
вас,172
_пл,172
рак,172
рап,171
нен,171
ней,171
ёлк,170
_зё,170
ень,169
еце,169
мае,169
рын,168
віл,168
ыва,168
_гл,168
_ап,167
нчы,166
шоў,166
зіў,166
нні,166
ву_,166
ную,165
гав,165
нап,164
дзь,164
ане,164
_бр,163
тэр,162
іўс,162
заб,162
нач,162
кіх,161
нек,161
арэ,161
аці,161
одн,160
йна,160
ярэ,159
акл,159
тай,159
анч,159
нна,159
_хл,158
ент,158
_цё,158
паг,158
ыхо,157
дны,157
таб,157
нак,157
рык,157
адч,157
_ас,156
зве,156
се_,156
біц,155
адр,155
дак,155
сту,155
гро,154
тур,154
вор,154
са_,154
ост,153
_мы,153
ура,153
_пі,153
аца,153
зда,153
ліч,153
оры,152
аце,152
абр,152
_ві,152
вел,152
чыў,152
усі,152
рош,151
_кл,151
бол,151
амо,150
чак,150
япе,150
сто,150
ажы,150
цяп,150
_хт,150
ган,150
г__,150
_гу,150
йшл,149
ску,149
дом,149
быц,148
ома,148
ыся,148
зас,148
_ла,148
мат,148
све,148
апі,148
тна,147
зап,147
іст,147
эй_,147
мер,147
зі_,146
дка,146
каг,146
ато,146
ыра,146
ьмі,145
ур_,145
ыпа,145
ьна,145
_тв,145
лаў,144
ча_,144
азі,143
олі,143
зен,142
нае,142
вык,142
гі_,141
іцц,141
ств,141
пыт,141
дру,141
_ху,141
ням,141
льм,141
ука,141
кас,140
_аж,140
сты,140
ніц,140
_аг,140
__i,140
звя,139
сар,138
рну,138
тны,138
над,138
едз,138
есц,138
адв,138
ены,138
ашы,137
гра,137
рос,137
лы_,137
_см,137
кул,137
блі,136
іта,136
пап,135
про,135
зац,135
ажа,135
вых,134
чу_,134
шчы,134
ом_,134
ымі,134
ўні,133
дык,133
ува,133
цёц,133
вяз,133
ану,132
вет,132
вып,132
_фі,131
гор,131
акс,131
яка,130
іцы,130
даю,130
лоп,130
іса,130
ров,130
мес,129
атэ,129
авы,129
спе,129
паз,129
раг,128
мог,128
ўда,128
ічы,128
пус,128
дчы,128
аша,128
рае,127
ічо,127
йце,127
доў,127
_зу,127
атн,127
хац,127
йшо,127
іне,126
рыв,126
зар,126
аеш,126
уст,126
ачу,126
коў,125
ок_,125
роз,125
ыні,125
_ув,125
ыйш,124
чык,124
айн,124
уўс,124
_но,123
ед_,123
мел,123
цяб,123
наз,123
чог,123
тыя,123
лед,123
рыш,122
ёця,122
цам,121
той,121
адс,121
асу,121
_фа,121
мна,121
но_,121
ода,120
гон,120
амы,120
ена,120
учы,120
зяў,120
п__,120
рыя,120
бав,120
род,119
усё,119
слу,119
інш,119
тая,119
_іс,119
нку,119
мац,119
лю_,119
суп,118
зір,118
сла,118
жур,118
сан,118
цяг,118
зла,118
_б_,118
еча,118
зь_,117
чан,117
іны,117
уха,117
няў,117
пла,117
уль,117
рка,117
ху_,116
наш,116
она,116
чай,116
акр,116
зан,116
тац,115
зад,115
вол,115
нуц,115
_ля,115
іль,115
нат,114
ець,114
ўжо,114
мін,114
зед,114
пля,114
шка,113
век,113
пай,113
стк,113
_се,113
чаў,113
сяб,112
анк,112
бод,112
энн,112
рта,112
ваб,111
мов,111
руг,110
іко,110
_ша,110
абы,110
рэч,110
авя,110
ц__,110
веч,110
ьш_,110
ыі_,110
туп,109
тру,109
сім,109
інн,109
чыл,109
яко,109
елі,108
пац,108
муж,108
_зб,108
адо,108
_ўв,108
жу_,108
агу,108
айц,107
роў,107
уса,107
вяд,107
цыя,107
шта,107
_тэ,107
кае,107
шлі,107
_ўж,107
хло,107
рыў,106
зец,106
бры,106
роб,106
ыча,106
йны,106
выр,106
дац,106
ёсц,105
оча,105
цік,105
ярн,105
яма,105
рый,105
чны,105
бла,104
апе,104
азн,104
піс,104
шай,104
рэш,103
ліз,103
сце,103
ячы,103
год,103
рах,102
аш_,102
ляк,102
ошы,102
нар,102
_ёй,102
ыш_,101
_ёс,101
піц,101
рыг,101
еся,101
руч,101
яні,101
ткі,101
піў,100
рыл,100
дап,100
тку,100
_ах,100
жыв,100
абл,100
тад,100
__э,99
рач,99
ўля,99
_ўз,99
ков,99
ока,99
зел,99
выс,99
су_,98
ўшы,98
ола,98
хан,98
_ар,98
пец,98
_кв,98
імі,97
вуч,97
_ід,97
нал,97
зав,97
іча,97
літ,97
іда,97
чам,97
нт_,96
адм,96
вул,96
тос,96
огу,96
уся,96
звы,96
пят,96
гат,95
яда,95
рэд,95
чыс,95
віў,95
_шк,95
чаг,95
тэл,95
піл,95
шча,94
пол,94
ерш,94
зіл,94
сна,94
люд,94
амя,94
асо,94
ява,94
кат,94
рай,93
кое,93
сяд,93
уду,93
зу_,93
без,93
наў,93
руб,93
ква,93
_ца,92
_ам,92
выч,92
ез_,92
ньк,92
ычн,92
_жо,92
іха,92
зяц,92
зея,92
айс,92
бот,92
